timestamp,pred_coef_tCha_year,annual_rate_tCO2e,incremental_credits_tCO2e,total_credits_tCO2e,soil_moist,temp,humidity,light,soil_temp,area_ha,moisture_temp,moisture2
2025-08-14 16:29:49.948947,0.5726666435638853,4.2033731637589185,7.101901257555758e-07,7.101901257555758e-07,17.0,26.5,81.9,85.0,27.0,2.0,450.5,289.0
2025-08-14 16:30:02.465228,0.5726830902457065,4.203493882403485,1.667652223936115e-06,2.3778423496916906e-06,17.0,26.3,81.6,85.0,26.94,2.0,447.1,289.0
2025-08-14 16:30:12.551071,0.5728317472842558,4.204585025066438,1.3447961756636001e-06,3.72263852535529e-06,17.0,26.4,82.0,85.0,27.0,2.0,448.79999999999995,289.0
2025-08-14 16:30:23.672324,0.5728317472842558,4.204585025066438,1.482805119446793e-06,5.205443644802083e-06,17.0,26.4,81.1,85.0,27.0,2.0,448.79999999999995,289.0
2025-08-14 16:30:32.250092,0.5728317472842558,4.204585025066438,1.1437763202125818e-06,6.349219965014665e-06,17.0,26.4,81.5,85.0,26.94,2.0,448.79999999999995,289.0
2025-08-14 16:30:41.727372,0.5726830902457065,4.203493882403485,1.2632453486745444e-06,7.61246531368921e-06,17.0,26.3,81.5,85.0,27.0,2.0,447.1,289.0
2025-08-14 16:30:50.813753,0.5728317472842558,4.204585025066438,1.211454193264775e-06,8.823919506953985e-06,17.0,26.4,82.6,85.0,26.94,2.0,448.79999999999995,289.0
2025-08-14 16:31:01.492883,0.5728317472842558,4.204585025066438,1.4238125356604514e-06,1.0247732042614437e-05,17.0,26.4,83.3,85.0,26.94,2.0,448.79999999999995,289.0
2025-08-14 16:31:14.539384,0.5728317472842558,4.204585025066438,1.7394075996975636e-06,1.1987139642311998e-05,17.0,26.4,81.9,85.0,26.94,2.0,448.79999999999995,289.0
2025-08-14 16:31:24.839452,0.5728317472842558,4.204585025066438,1.3733101844462885e-06,1.3360449826758286e-05,17.0,26.4,82.6,85.0,26.88,2.0,448.79999999999995,289.0
